source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-077,Ayurveda,Rasarajamahodadhi - Part-4,Gaurishankar Tripathi Vaidyashastri,,"Khemraj Shrikrishnadas, Shri Venkateshwar Press Mumbai",,2008,"Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press Mumbai, Edition, October-2008",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-078,Ayurveda,Rasarajamahodadhi - Part-5,Bhagat Bhagavanadasa,,"Khemraj Shrikrishnadas, Shri Venkateshwar Press",,2008,"Published by Khemraj Shrikrishnadas, Shri Venkateshwar Press, Mumbai, Edition, October-2008",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-079,Ayurveda,Rasaratnakara Rasakhandam,Nityanathasiddha,,Chaukhamba Amar Bharati (Varanasi),Edn. 1st,1985,"Commentary by Indradeva Tripathi, Published by Chaukhamba Amar Bharati (Varanasi), Edn. 1st 1985",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-080,Ayurveda,Rasaratnakara Rasayanakhanda,Nityanatha siddha,,Chaukhamba Amar Bharati (Varanasi),Edn. 2nd,1992,"Commentary by Indradeo Tripathi, Published by  Chaukhamba Amar Bharati (Varanasi), Edn. 2nd 1992",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-081,Ayurveda,Rasaratnakara Riddhikhandam,Nityanathasiddhah,,Chaukhamba Orientalia (Varanasi) Edn. 1st 1991,Edn. 1st,1991,"Commentary by Swaminath Mishra, Published by  Chaukhamba Orientalia (Varanasi) Edn. 1st 1991",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-082,Ayurveda,Rasaratnakara-Rasendra Khandam,Nityanathasiddha,,"Shri Gajanan Book Depot, (Pune)",Edn. 2nd,1986,"Commentary by Datto Vallal Borakara, Published by Shri Gajanan Book Depot, (Pune), Edn. 2nd 1986",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-083,Ayurveda,Rasaratnasamucchaya,Vagbhatta,Translated by Dharmananda Sharma,"Motilal Banarasidasa, Varanasi",edition 1962,1962,"Translated by Dharmananda Sharma, Edited by Atrideva Gupta, Published by Motilal Banarasidasa, Varanasi, Second edition 1962, Reprint - Delhi 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-084,Ayurveda,Rasarnavam,,edited by Krishna Dixit,"Chaukhambha Sanskrit Series Office, Varanasi",Edn. 4th,2001,"Commentary by Indradeo Tripathi & edited by Krishna Dixit, Published by Chaukhambha Sanskrit Series Office, Varanasi, Edn. 4th 2001",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-085,Ayurveda,Rasatantrasara Evam Siddhaprayogasangraha - Part-I,,,Krishan Gopal Ayurveda Bhawan,Edn. 8th,1990,"Published by Krishan Gopal Ayurveda Bhawan, Edn. 8th,1990",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-086,Ayurveda,Rasatantrasara Evam Siddhaprayogasangraha - Part-II,,,Krishan Gopal Ayurveda Bhawan,Edn 8th,1990,"Published by Krishan Gopal Ayurveda Bhawan, Edn 8th 1990",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-087,Ayurveda,Rasatarangini,Sadanandasharma,,"Kashinathshastri, Motilal Banarasidas",Edn. 11th,1979,"Published by Kashinathshastri, Motilal Banarasidas, Varanasi,  Edn. 11th 1979 (Reprinted-Delhi, 2000)",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-088,Ayurveda,Rasayoga Sagara - Vol.-I,,,"Krishnadas Academy, Varanasi",,1999,"Compiled and Translated  by Vaidya Pandita Hariprapanna Ji,   Published by Krishnadas Academy, Varanasi, Edn. Reprint, 1999.",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-089,Ayurveda,Rasayoga Sagara - Vol.-II,,Translated by Vaidya Pandita Hariprapanna Ji,"Krishnadas Academy, Varanasi",,1998,"Compiled and Translated by Vaidya Pandita Hariprapanna Ji ,  Published by Krishnadas Academy, Varanasi, Edn. Reprint, 1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
